"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os01g0100100","Os01g0100100","Os01t0100100-01",80.9051521291334,82.284858824004,6.3503573767923,-0.0243954078324622,0.0243954078324622,0.763754267477875,0.928329711356259,36894,0,"NS",FALSE
"Os01g0100200","Os01g0100200","Os01t0100200-01",0.602147638139031,2.77162291027381,0.369460075378516,-2.20254182271802,2.20254182271802,0.00476504758298503,0.0340749152944316,6271,1,"up",TRUE
"Os01g0100300","Os01g0100300","Os01t0100300-00",0,0.127429894428446,-6.35313872224295,-1.38441212619431,1.38441212619431,0.0870002749930274,0.246258183685454,15727,0,"NS",TRUE
"Os01g0100400","Os01g0100400","Os01t0100400-01",24.4543410889179,24.3030452973117,4.60754194226209,0.0089534901278352,-0.0089534901278352,0.968524459188907,1,41864,0,"NS",FALSE
"Os01g0100466","Os01g0100466","Os01t0100466-00",0,0,-6.35313872224295,1.99300453528808,-1.99300453528808,1,1,43709,0,"NS",TRUE
"Os01g0100500","Os01g0100500","Os01t0100500-01",91.8095528249548,51.3683899752872,6.10169066035183,0.837763418095677,-0.837763418095677,1.32206784234104e-05,0.000491598758888404,1206,1,"down",FALSE
"Os01g0100600","Os01g0100600","Os01t0100600-01",85.8310444120945,36.3182986032901,5.80302618092638,1.24080293499714,-1.24080293499714,6.84916411378688e-05,0.0015798275573687,1943,1,"down",TRUE
"Os01g0100650","Os01g0100650","Os01t0100650-00",0.287636352715692,0.690085711728856,-1.16641730314926,-1.26252954090409,1.26252954090409,0.90342819445952,1,40058,0,"NS",TRUE
"Os01g0100700","Os01g0100700","Os01t0100700-01",758.281697187732,798.179988277007,9.6035801943678,-0.073980207807038,0.073980207807038,0.600348562808508,0.81083127881772,33203,0,"NS",FALSE
"Os01g0100800","Os01g0100800","Os01t0100800-01",134.655619749622,106.778618228202,6.90580480271099,0.334651655874632,-0.334651655874632,0.00761496195671722,0.0473890305283135,7206,1,"down",FALSE
"Os01g0100900","Os01g0100900","Os01t0100900-01",491.824142165805,300.083560499315,8.58560960980198,0.712778268398372,-0.712778268398372,0.000623469170423048,0.00784920030276563,3562,1,"down",FALSE
"Os01g0101150","Os01g0101150","Os01t0101150-00",0,0.0122621775542315,-6.35313872224295,1.99300453528808,-1.99300453528808,0.226214255950246,0.449183370084904,22271,0,"NS",TRUE
"Os01g0101175","Os01g0101175","Os01t0101175-00",0,0,-6.35313872224295,1.99300453528808,-1.99300453528808,1,1,43709,0,"NS",TRUE
"Os01g0101200","Os01g0101200","Os01t0101200-01",32.7374444687172,36.8716650156651,5.11865523146023,-0.171570858367367,0.171570858367367,0.315097478978086,0.54588492745966,25885,0,"NS",FALSE
"Os01g0101200.1","Os01g0101200","Os01t0101200-02",61.2967316675605,64.5985766935841,5.97558435984837,-0.0756922265501663,0.0756922265501663,0.505582093498302,0.734136042510049,30883,0,"NS",FALSE
"Os01g0101300","Os01g0101300","Os01t0101300-01",53.1761608284757,55.2473483283291,5.76027051709899,-0.055125599684442,0.055125599684442,0.730220504792634,0.904990501498327,36183,0,"NS",FALSE
"Os01g0101600","Os01g0101600","Os01t0101600-01",52.8251674860894,49.3296722574922,5.67376866416188,0.0987697341279494,-0.0987697341279494,0.585103471587903,0.799536218419963,32817,0,"NS",FALSE
